# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
65,0.1.3450,2,Unknown,ms2,1112.66,99,1061,335.1263,77261.81,276087.38,3,336.5061,336.5061,336.51,120,1006.496
66,0.1.3451,2,Unknown,ms2,1112.99,99,652,287.9045,22328.79,141833.12,2,306.691,306.691,306.69,120,611.3674
67,0.1.3501,2,Unknown,ms2,1128.83,99,672,246.1819,582176,10392850,2,315.204,315.2039,315.2,31.049,628.3934
68,0.1.3515,2,Unknown,ms2,1133.38,99,652,287.9046,22390.21,126410.03,2,306.6909,306.6908,306.69,120,611.3672
69,0.1.3564,2,Unknown,ms2,1149.18,99,672,246.182,982694.38,13453936,2,315.204,315.204,315.2,18.2085,628.3934
70,0.1.3579,2,Unknown,ms2,1153.76,99,652,287.9041,11870.06,96005.2,2,306.6912,306.6912,306.69,120,611.3678
71,0.1.3627,2,Unknown,ms2,1169.69,99,672,246.1819,1101563.8,15395739,2,315.2042,315.2042,315.2,19.5379,628.3938
72,0.1.3641,2,Unknown,ms2,1174.22,99,652,287.9047,11439.85,86290.75,2,306.691,306.6911,306.69,120,611.3674
73,0.1.3645,2,Unknown,ms2,1175.67,99,727,163.076,12554.8,115966.1,2,343.7155,343.7152,343.72,120,685.4164
74,0.1.3646,2,Unknown,ms2,1175.83,99,1005,147.1134,30911.26,710527.38,3,317.5001,317.4999,317.5,120,949.4785
75,0.1.3691,2,Unknown,ms2,1189.99,99,672,246.182,1393697,18607566,2,315.2042,315.2043,315.2,15.229,628.3938
76,0.1.3706,2,Unknown,ms2,1194.66,99,652,287.9055,12402.39,87959.87,2,306.691,306.691,306.69,120,611.3674
77,0.1.3711,2,Unknown,ms2,1196.06,99,1005,110.072,222055.05,1558953.9,3,317.4998,317.4997,317.5,120,949.4776
78,0.1.3714,2,Unknown,ms2,1196.85,99,727,101.0717,36012.15,290125.47,2,343.7153,343.7152,343.72,120,685.416
79,0.1.3756,2,Unknown,ms2,1210.51,99,672,246.1821,1093095.8,15382058,2,315.2042,315.2041,315.2,17.4622,628.3938
