# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
5140,controllerType=0 controllerNumber=1 scan=6043,1,Unknown,ms1,1804.38,845.0406,615306.3125
5141,controllerType=0 controllerNumber=1 scan=6044,1,Unknown,ms1,1804.75,845.0410,489073.4375
5142,controllerType=0 controllerNumber=1 scan=6051,1,Unknown,ms1,1805.76,845.0405,515930.0625
5143,controllerType=0 controllerNumber=1 scan=6057,1,Unknown,ms1,1806.86,845.0412,400120.9063
5144,controllerType=0 controllerNumber=1 scan=6064,1,Unknown,ms1,1808.03,845.0408,469269.6875
5145,controllerType=0 controllerNumber=1 scan=6070,1,Unknown,ms1,1808.96,845.0409,564122.2500
5146,controllerType=0 controllerNumber=1 scan=6077,1,Unknown,ms1,1810.05,845.0407,496923.5938
5147,controllerType=0 controllerNumber=1 scan=6078,1,Unknown,ms1,1810.41,845.0403,590669.5000
5148,controllerType=0 controllerNumber=1 scan=6085,1,Unknown,ms1,1811.58,845.0411,382438.4063
5149,controllerType=0 controllerNumber=1 scan=6089,1,Unknown,ms1,1812.31,845.0408,432172.8125
5150,controllerType=0 controllerNumber=1 scan=6094,1,Unknown,ms1,1813.24,845.0405,413996.1250
5151,controllerType=0 controllerNumber=1 scan=6095,1,Unknown,ms1,1813.61,845.0402,386241.1875
5152,controllerType=0 controllerNumber=1 scan=6101,1,Unknown,ms1,1814.62,845.0414,384138.7500
5153,controllerType=0 controllerNumber=1 scan=6102,1,Unknown,ms1,1814.98,845.0426,279561.7188
5154,controllerType=0 controllerNumber=1 scan=6106,1,Unknown,ms1,1815.68,845.0408,321354.5938
5155,controllerType=0 controllerNumber=1 scan=6111,1,Unknown,ms1,1816.53,845.0417,332458.0313
5156,controllerType=0 controllerNumber=1 scan=6116,1,Unknown,ms1,1817.38,845.0377,225747.1250
5156,controllerType=0 controllerNumber=1 scan=6116,1,Unknown,ms1,1817.38,845.0435,49332.3945
5157,controllerType=0 controllerNumber=1 scan=6117,1,Unknown,ms1,1817.75,845.0413,181235.5156
5158,controllerType=0 controllerNumber=1 scan=6121,1,Unknown,ms1,1818.36,845.0413,177726.1875
5159,controllerType=0 controllerNumber=1 scan=6123,1,Unknown,ms1,1818.79,845.0413,0.0000
5160,controllerType=0 controllerNumber=1 scan=6124,1,Unknown,ms1,1819.15,845.0414,0.0000
5161,controllerType=0 controllerNumber=1 scan=6127,1,Unknown,ms1,1819.75,845.0413,0.0000
5162,controllerType=0 controllerNumber=1 scan=6128,1,Unknown,ms1,1820.12,845.0413,0.0000
5163,controllerType=0 controllerNumber=1 scan=6129,1,Unknown,ms1,1820.48,845.0412,0.0000
5164,controllerType=0 controllerNumber=1 scan=6131,1,Unknown,ms1,1820.95,845.0412,159968.7188
5165,controllerType=0 controllerNumber=1 scan=6132,1,Unknown,ms1,1821.32,845.0411,0.0000
5167,controllerType=0 controllerNumber=1 scan=6136,1,Unknown,ms1,1822.29,845.0413,232051.1875
5170,controllerType=0 controllerNumber=1 scan=6147,1,Unknown,ms1,1824.30,845.0411,113042.6094
5171,controllerType=0 controllerNumber=1 scan=6148,1,Unknown,ms1,1824.66,845.0410,0.0000
5174,controllerType=0 controllerNumber=1 scan=6154,1,Unknown,ms1,1826.12,845.0410,98994.1563
5178,controllerType=0 controllerNumber=1 scan=6162,1,Unknown,ms1,1828.06,845.0410,0.0000
5183,controllerType=0 controllerNumber=1 scan=6173,1,Unknown,ms1,1830.51,845.0408,275830.7188
5190,controllerType=0 controllerNumber=1 scan=6193,1,Unknown,ms1,1834.68,845.0407,72995.8906
5194,controllerType=0 controllerNumber=1 scan=6210,1,Unknown,ms1,1837.94,845.0406,63568.1914
5195,controllerType=0 controllerNumber=1 scan=6211,1,Unknown,ms1,1838.31,845.0406,60642.5430
5197,controllerType=0 controllerNumber=1 scan=6221,1,Unknown,ms1,1839.90,845.0406,0.0000
5198,controllerType=0 controllerNumber=1 scan=6224,1,Unknown,ms1,1840.45,845.0405,0.0000
5200,controllerType=0 controllerNumber=1 scan=6236,1,Unknown,ms1,1842.55,845.0405,45060.4336
5201,controllerType=0 controllerNumber=1 scan=6237,1,Unknown,ms1,1842.92,845.0403,0.0000
5202,controllerType=0 controllerNumber=1 scan=6244,1,Unknown,ms1,1844.09,845.0386,68468.5781
5202,controllerType=0 controllerNumber=1 scan=6244,1,Unknown,ms1,1844.09,845.0444,11770.5166
5203,controllerType=0 controllerNumber=1 scan=6248,1,Unknown,ms1,1844.88,845.0385,15717.8975
5204,controllerType=0 controllerNumber=1 scan=6256,1,Unknown,ms1,1846.20,845.0396,45066.4023
5204,controllerType=0 controllerNumber=1 scan=6256,1,Unknown,ms1,1846.20,845.0454,3563.0454
5205,controllerType=0 controllerNumber=1 scan=6261,1,Unknown,ms1,1847.23,845.0403,40283.7656
5206,controllerType=0 controllerNumber=1 scan=6262,1,Unknown,ms1,1847.60,845.0418,2361.6499
5207,controllerType=0 controllerNumber=1 scan=6268,1,Unknown,ms1,1848.53,845.0409,0.0000
5208,controllerType=0 controllerNumber=1 scan=6275,1,Unknown,ms1,1849.69,845.0406,22928.1953
5209,controllerType=0 controllerNumber=1 scan=6276,1,Unknown,ms1,1850.05,845.0408,0.0000
5210,controllerType=0 controllerNumber=1 scan=6280,1,Unknown,ms1,1850.67,845.0407,11735.2158
5211,controllerType=0 controllerNumber=1 scan=6285,1,Unknown,ms1,1851.71,845.0379,35448.4180
5212,controllerType=0 controllerNumber=1 scan=6290,1,Unknown,ms1,1852.70,845.0407,0.0000
5213,controllerType=0 controllerNumber=1 scan=6294,1,Unknown,ms1,1853.40,845.0408,0.0000
5214,controllerType=0 controllerNumber=1 scan=6299,1,Unknown,ms1,1854.30,845.0408,0.0000
5215,controllerType=0 controllerNumber=1 scan=6300,1,Unknown,ms1,1854.66,845.0408,0.0000
5216,controllerType=0 controllerNumber=1 scan=6305,1,Unknown,ms1,1855.52,845.0406,44009.0234
5217,controllerType=0 controllerNumber=1 scan=6309,1,Unknown,ms1,1856.21,845.0408,0.0000
